koi_score,koi_fpflag_nt,koi_model_snr,koi_fpflag_co,koi_fpflag_ss,koi_fpflag_ec,koi_duration_err2,koi_prad,koi_depth_err2,koi_tce_plnt_num,koi_steff_err1,koi_steff_err2,koi_prad_err2,koi_insol,koi_time0bk_err2,koi_disposition
1.0,0.0,47.6,0.0,0.0,0.0,-0.0484,2.59,-26.7,1.0,159.0,-159.0,-0.22,75.44,-0.00149,CONFIRMED
0.989,0.0,20.1,0.0,0.0,0.0,-0.184,2.36,-49.6,2.0,159.0,-159.0,-0.2,5.49,-0.00625,CONFIRMED
1.0,0.0,277.2,0.0,0.0,0.0,-0.0592,7.4,-27.6,1.0,156.0,-173.0,-0.73,76.15,-0.000413,CONFIRMED
0.0,0.0,112.6,0.0,1.0,0.0,-0.0232,46.58,-20.4,1.0,72.0,-90.0,-8.0,3209.29,-0.000397,FALSE POSITIVE
0.0,0.0,38.2,1.0,1.0,0.0,-0.121,28.59,-26.4,1.0,176.0,-193.0,-3.69,139.26,-0.00224,FALSE POSITIVE
1.0,0.0,38.9,0.0,0.0,0.0,-0.0559,2.06,-11.4,1.0,82.0,-74.0,-0.28,743.09,-0.0016,CONFIRMED
1.0,0.0,50.8,0.0,0.0,0.0,-0.0454,2.77,-29.7,1.0,166.0,-166.0,-0.15,102.87,-0.00108,CONFIRMED
0.0,0.0,299.7,1.0,1.0,1.0,-0.0115,27.51,-45.9,1.0,156.0,-156.0,-1.73,2706.26,-0.000169,FALSE POSITIVE
1.0,0.0,183.6,0.0,0.0,0.0,-0.0331,7.73,-53.2,1.0,179.0,-197.0,-0.72,102.91,-0.000483,CANDIDATE
1.0,0.0,35.2,0.0,0.0,0.0,-0.0754,1.96,-45.1,2.0,70.0,-86.0,-0.16,4.0,-0.00241,CONFIRMED
1.0,0.0,26.0,0.0,0.0,0.0,-0.13,1.83,-56.4,3.0,70.0,-86.0,-0.15,1.32,-0.0043,CONFIRMED
0.952,0.0,17.1,0.0,0.0,0.0,-0.177,1.31,-6.5,4.0,105.0,-117.0,-0.13,41.94,-0.00647,CONFIRMED
0.994,0.0,15.9,0.0,0.0,0.0,-0.12,1.2,-36.4,4.0,70.0,-86.0,-0.1,14.05,-0.00436,CONFIRMED
1.0,0.0,370.8,0.0,0.0,0.0,-0.0302,7.34,-29.5,1.0,167.0,-167.0,-0.65,241.62,-0.000157,CONFIRMED
0.999,0.0,32.1,0.0,0.0,0.0,-0.122,2.32,-35.1,1.0,160.0,-160.0,-0.16,19.45,-0.00354,CONFIRMED
1.0,0.0,799.7,0.0,0.0,0.0,-0.00338,9.73,-11.8,1.0,83.0,-74.0,-1.42,1467.41,-7.61e-05,CONFIRMED
1.0,0.0,340.5,0.0,0.0,0.0,-0.0292,13.6,-85.0,1.0,76.0,-85.0,-0.92,40.39,-0.000148,CANDIDATE
0.0,1.0,14.2,1.0,0.0,0.0,-0.731,17.47,-28.2,2.0,152.0,-169.0,-1.65,116.46,-0.0105,FALSE POSITIVE
1.0,0.0,53.9,0.0,0.0,0.0,-0.0528,2.57,-21.9,1.0,167.0,-167.0,-0.26,77.75,-0.00142,CONFIRMED
0.053,0.0,636.8,0.0,1.0,0.0,-0.0272,13.28,-31.8,1.0,169.0,-169.0,-2.41,119.31,-0.000306,FALSE POSITIVE
1.0,0.0,138.8,0.0,0.0,0.0,-0.0961,8.9,-82.4,2.0,98.0,-120.0,-0.38,2.14,-0.0013,CONFIRMED
