st_mass,st_logg,pl_radjerr2,pl_radjerr1,pl_radeerr1,pl_radeerr2,st_teff,pl_orbpererr1,pl_orbpererr2,pl_radj,pl_rade,st_rad,sy_dist,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_orbper,sy_vmagerr1,sy_vmagerr2,sy_vmag,sy_kmagerr2,sy_kmagerr1,sy_kmag,sy_pnum,sy_snum,pl_controv_flag,default_flag,disposition
,,-0.041,0.013,0.15,-0.46,,0.00066,-0.00067,0.194,2.18,0.7209,228.327,12.8852,0.000295,-0.000295,14.13168,0.114,-0.114,13.181,-0.019,0.019,10.986,1,1,0,0,CONFIRMED
,4.02415,-0.08545026,0.08545026,0.95781034,-0.95781034,5494.0,0.00022491,-0.00022491,1.22595945,13.74175585,1.58042,638.7,13.0983,0.000548,-0.000548,1.915525758,0.126,-0.126,13.256,-0.022,0.022,11.479,1,1,0,0,CONFIRMED
0.235199,4.96918,,,,,3201.0,,,,,0.263126,170.258,17.5202,0.001642,-0.001642,3.269,0.2,-0.2,19.27,-0.052,0.052,13.59,0,1,0,0,CANDIDATE
0.935,4.54,-0.00749398,0.00927826,0.104,-0.084,5356.3,0.00021,-0.00021,0.21322152,2.39,0.863,202.585,12.0252,0.000364,-0.000364,5.40479,0.092,-0.092,12.246,-0.021,0.021,10.305,6,1,0,1,CONFIRMED
0.642823,4.59239,,,,,3614.0,,,,,0.671247,265.78,15.258,0.001715,-0.001715,0.526018,1.03,-1.03,14.09,-0.022,0.022,11.807,0,1,0,1,FALSE POSITIVE
0.97,,-0.00838613,0.00713713,0.08,-0.094,5868.0,1.9e-05,-1.9e-05,0.20804746,2.332,0.999,121.971,10.0494,0.000421,-0.000421,16.141132,0.006,-0.006,10.23,-0.023,0.023,8.725,1,1,0,1,CONFIRMED
,,,,,,5162.0,,,,,1.9631,3503.83,16.5831,0.004868,-0.004868,11.078847,0.0468,-0.0468,16.8105,-0.075,0.075,14.551,0,1,0,1,FALSE POSITIVE
,,-0.00946,0.0061,0.068,-0.106,,0.00067,-0.00069,0.0393,0.441,0.34,,,,,5.54583,0.114,-0.114,12.92,-0.024,0.024,9.309,0,1,0,1,CANDIDATE
0.66,4.65,-0.00446071,0.00981356,0.11,-0.05,4558.0,1.2e-05,-1.2e-05,0.0918906,1.03,0.63,156.951,13.0455,0.000305,-0.000305,3.850614,0.126,-0.126,13.322,-0.017,0.017,10.613,1,1,0,1,CONFIRMED
1.04,4.36933,,,,,5793.0,,,,,1.10379,400.006,12.5721,0.000231,-0.000231,0.32814902,0.08,-0.08,12.896,-0.026,0.026,11.053,0,1,0,0,CANDIDATE
,,-1.12,1.91,21.4,-12.5,,0.001059,-0.001088,1.32,14.8,0.43,179.854,16.0836,0.00088,-0.00088,10.134279,0.0467,-0.0467,17.236,-0.021,0.021,12.474,1,1,0,0,CONFIRMED
,,-0.021,0.022,0.25,-0.23,,6.1e-05,-5.9e-05,0.135,1.51,1.004,265.263,13.2285,0.000271,-0.000271,1.057171,0.092,-0.092,13.826,-0.023,0.023,10.704,0,1,0,1,CANDIDATE
1.01,4.27,,,,,5476.0,2.6,-2.5,,,1.144,264.78,11.7889,0.000253,-0.000253,592.5,0.046,-0.046,11.936,-0.026,0.026,10.192,4,1,0,0,CONFIRMED
,4.18,-0.0495599,0.0495599,0.555516,-0.555516,6283.4,3.11e-05,-3.11e-05,0.82397055,9.23587,1.48,306.57,10.9148,0.000891,-0.000891,5.1699026,0.012,-0.012,10.95,-0.018,0.018,9.774,0,1,0,0,CANDIDATE
0.686,4.581,-0.11597823,0.16058524,1.8,-1.3,4285.0,1.7e-05,-1.7e-05,0.29440628,3.3,0.703,77.5586,11.3527,0.000859,-0.000859,0.658524,0.046,-0.046,11.625,-0.023,0.023,8.897,4,2,0,1,CONFIRMED
,3.87,-6.1,6.1,68.0,-68.0,6721.0,2.4e-05,-2.4e-05,9.1,102.0,2.3,262.672,10.4364,0.001098,-0.001098,1.31559,0.006,-0.006,10.485,-0.017,0.017,9.109,0,1,0,0,FALSE POSITIVE
,,-0.29,0.11,1.2,-3.2,,0.0003,-0.00029,0.29,3.2,0.426,129.055,14.5914,0.000693,-0.000693,5.07152,0.057,-0.057,15.675,-0.021,0.021,11.133,0,1,0,1,CANDIDATE
0.965,,-0.01248998,0.02676425,0.3,-0.14,5672.0,0.00052,-0.00052,0.21768259,2.44,1.117,326.381,12.0884,0.000331,-0.000331,8.28246,0.103,-0.103,12.38,-0.024,0.024,10.605,1,1,0,1,CONFIRMED
,,-0.04,0.44,4.9,-0.5,,0.001564,-0.001524,0.28,3.1,0.78,327.783,13.5627,0.000175,-0.000175,9.3261,0.114,-0.114,13.848,-0.023,0.023,11.639,5,1,0,0,CONFIRMED
0.982829,4.61,-0.01297826,0.01910787,0.21418014,-0.1454733,5649.0,7.4e-05,-7.6e-05,0.28354361,3.17824034,0.913754,315.363,12.542,0.000311,-0.000311,3.705871,0.16,-0.16,12.838,-0.026,0.026,11.037,1,1,0,1,CONFIRMED
,,-0.31,0.25,2.8,-3.5,,1.4e-06,-1.4e-06,0.68,7.6,0.231,99.958,15.9385,0.000757,-0.000757,0.2990737,0.2,-0.2,17.85,-0.022,0.022,11.955,0,1,0,1,CANDIDATE
0.637,4.657,-0.01159784,0.01248998,0.14,-0.13,4219.0,1.2e-05,-1.2e-05,0.1409584,1.58,0.622,29.661,9.83773,0.000411,-0.000411,1.208966,0.03,-0.03,10.37,-0.024,0.024,7.193,3,1,0,0,CONFIRMED
0.937,4.435,-0.01632619,0.01668305,0.187,-0.183,5387.0,0.00018,-0.000155,0.21563067,2.417,0.966,199.354,11.6421,0.000365,-0.000365,3.572326,0.08,-0.08,11.865,-0.017,0.017,9.95,1,1,0,0,CONFIRMED
,,-0.049,0.07,0.79,-0.55,,0.00039,-0.00036,0.41,4.6,1.37,518.625,12.0398,0.000196,-0.000196,10.13682,0.057,-0.057,12.216,-0.028,0.028,10.869,1,1,0,0,CONFIRMED
,,-0.037,0.03,0.3,-0.41,,1.9e-05,-1.9e-05,0.363,4.07,0.662,159.522,13.0624,0.000386,-0.000386,2.849302,0.092,-0.092,13.519,-0.025,0.025,10.471,1,1,0,0,CONFIRMED
0.866,4.47,,,,,5261.0,0.045,-0.045,,,0.872,47.2899,8.76221,0.000265,-0.000265,8.509,0.03,-0.03,8.97,-0.02,0.02,7.066,4,1,0,0,CONFIRMED
,,-1.02,0.29,3.3,-11.4,,0.0007,-0.00067,0.972,10.9,3.34,590.762,11.7297,0.000363,-0.000363,7.78608,0.069,-0.069,12.038,-0.019,0.019,9.468,0,1,0,1,CANDIDATE
,4.55,-0.47,0.91,10.24531391,-5.28783584,5319.0,3e-05,-3e-05,1.53,17.16037834,0.818973,213.5,12.1965,0.000935,-0.000935,8.658168,0.103,-0.103,12.372,-0.017,0.017,10.287,0,1,0,0,CANDIDATE
,4.53,-0.04011516,0.04011516,0.44965,-0.44965,4279.0,3.3e-06,-3.3e-06,0.42401001,4.75272,0.74,159.522,13.0624,0.000386,-0.000386,2.849282,0.092,-0.092,13.519,-0.025,0.025,10.471,1,1,0,0,CONFIRMED
1.12,4.13261,,,,,6046.46,,,,,1.5043,655.284,12.7189,0.001356,-0.001356,0.821436,0.08,-0.08,12.845,-0.021,0.021,11.428,0,1,0,1,FALSE POSITIVE
,,-0.045,0.045,0.51,-0.51,,0.0016,-0.0016,0.157,1.76,0.205,123.202,16.4791,0.001002,-0.001002,17.7037,,,,-0.026,0.026,12.638,1,1,0,0,CONFIRMED
1.28,4.24,-0.08,0.07,0.78463,-0.89672,6257.0,2e-05,-2e-05,1.65,18.49485,1.43,314.995,11.4668,0.000949,-0.000949,2.18056,0.034,-0.034,11.602,-0.023,0.023,10.217,1,1,0,0,CONFIRMED
,,-0.021,0.013,0.15,-0.23,,0.0002,-0.0002,0.171,1.92,0.625,102.953,12.4013,0.000397,-0.000397,7.38711,0.069,-0.069,12.759,-0.021,0.021,9.712,1,1,0,0,CONFIRMED
0.789481,4.46,-0.01378432,0.01991766,0.22325706,-0.15450847,5043.0,0.001728,-0.001599,0.24937361,2.79522879,0.758046,244.443,12.8274,0.00019,-0.00019,18.294549,0.092,-0.092,13.084,-0.021,0.021,10.918,1,1,0,1,CONFIRMED
,4.39,-2.8,2.8,31.0,-31.0,5876.0,5.9e-05,-5.9e-05,4.9,55.0,1.07,552.872,12.3543,0.000604,-0.000604,1.3179,0.057,-0.057,12.734,-0.023,0.023,10.488,0,1,0,0,FALSE POSITIVE
,,,,,,2997.0,,,0.14274244,1.6,0.18,62.9969,14.6799,0.000763,-0.000763,2.2604439,1.133,-1.133,16.526,-0.023,0.023,10.746,1,1,0,0,CONFIRMED
0.606,,-0.00383621,0.00410385,0.046,-0.043,4305.0,6.3e-05,-6.3e-05,0.18039107,2.022,0.602,29.661,9.83773,0.000411,-0.000411,6.20147,0.03,-0.03,10.37,-0.024,0.024,7.193,3,1,0,0,CONFIRMED
,,-0.318,0.318,3.56,-3.56,5192.0,0.0,0.0,2.481,27.81,0.79,233.55,11.7062,0.001189,-0.001189,5.79687,0.038,-0.038,12.329,-0.023,0.023,9.883,0,1,0,0,FALSE POSITIVE
,,-0.021,0.012,0.13,-0.23,,8.4e-06,-1e-05,0.121,1.36,0.671,97.2179,12.06,0.000292,-0.000292,0.684541,0.069,-0.069,12.416,-0.018,0.018,9.466,1,1,0,0,CONFIRMED
1.16,4.118,-0.02854849,0.02854849,0.32,-0.32,5995.0,0.0021,-0.0021,0.23820145,2.67,1.56,561.93,12.5886,0.000274,-0.000274,7.8142,0.057,-0.057,12.803,-0.019,0.019,11.178,2,1,0,1,CONFIRMED
0.954,4.488,-0.00999199,0.01588012,0.178,-0.112,5236.0,0.001999,-0.001887,0.27870509,3.124,0.92,274.864,12.9345,0.000339,-0.000339,25.76051,0.069,-0.069,13.32,-0.02,0.02,10.811,2,1,0,1,CONFIRMED
,,,,,,5354.0,,,0.16861451,1.89,0.84,880.659,12.4966,0.00024,-0.00024,1.7359447,0.08,-0.08,12.779,-0.024,0.024,10.862,0,1,0,1,CANDIDATE
0.0898,,,,,,2520.0,2.66e-06,-2.66e-06,,,0.1234,,15.6451,0.001448,-0.001448,4.04978035,0.2,-0.2,17.02,-0.023,0.023,10.296,7,1,0,0,CONFIRMED
1.084,,,,,,5350.0,1e-06,-1e-06,,,1.15,264.78,11.7889,0.000253,-0.000253,4.1591496,0.046,-0.046,11.936,-0.026,0.026,10.192,4,1,0,0,CONFIRMED
,3.88,-0.04900401,0.04900401,0.549285,-0.549285,5287.7,0.0002106,-0.0002106,0.91569432,10.264,1.73,213.283,10.4594,0.000314,-0.000314,11.6332127,0.009,-0.009,10.612,-0.022,0.022,8.89,1,1,0,0,CONFIRMED
,4.6,-0.01724028,0.01724028,0.193246,-0.193246,5144.5,5.9e-06,-5.9e-06,0.23663615,2.65245,0.77,154.961,11.804,0.000295,-0.000295,3.4715644,0.114,-0.114,12.075,-0.022,0.022,9.971,4,1,0,0,CONFIRMED
,,-1.2,0.67,7.5,-14.0,,1.3e-06,-1.4e-06,2.6,29.0,1.51,283.555,11.3123,0.000675,-0.000675,1.1829266,0.017,-0.017,11.484,-0.018,0.018,9.802,0,1,0,1,CANDIDATE
0.846,4.56746,,,,,5064.0,,,,,0.792485,232.964,12.7782,0.000395,-0.000395,13.98746633,0.092,-0.092,13.074,-0.021,0.021,10.853,1,1,0,0,CONFIRMED
0.3,,-0.08564546,0.04728343,0.53,-0.96,3390.0,0.0015,-0.0015,0.20073156,2.25,0.31,82.9631,14.8665,0.000584,-0.000584,18.4498,0.195,-0.195,15.86,-0.023,0.023,11.495,1,1,0,1,CONFIRMED
0.0802,,-0.00303328,0.00303328,0.034,-0.034,2559.0,15.0,-6.0,0.06735659,0.755,0.117,,15.6451,0.001448,-0.001448,20.0,0.2,-0.2,17.02,-0.023,0.023,10.296,7,1,0,0,CONFIRMED
0.696,4.673,-0.02854849,0.02854849,0.32,-0.32,4456.0,3.3e-05,-3.3e-05,0.34079757,3.82,0.63,159.522,13.0624,0.000386,-0.000386,2.849258,0.092,-0.092,13.519,-0.025,0.025,10.471,1,1,0,0,CONFIRMED
,,-0.029,0.019,0.21,-0.33,,7.6e-05,-6.8e-05,0.282,3.16,0.727,687.973,15.5122,0.000614,-0.000614,2.060368,0.275,-0.275,16.029,-0.032,0.032,13.392,1,1,0,0,CONFIRMED
,,-2.9,2.1,23.0,-33.0,,0.00018,-0.00017,7.7,86.0,5.13,933.196,12.8641,0.000322,-0.000322,8.02335,0.126,-0.126,13.598,-0.023,0.023,9.794,0,1,0,1,FALSE POSITIVE
,,-0.17,0.34,3.8,-1.9,,7.5e-05,-7.4e-05,1.48,16.6,2.07,1038.41,15.2553,0.000376,-0.000376,3.535155,0.03,-0.03,15.93,-0.019,0.019,11.853,1,1,0,0,CONFIRMED
0.834,4.54479,,,,,5017.84,,,,,0.807647,184.131,12.2315,0.000359,-0.000359,2.85,0.08,-0.08,12.428,-0.021,0.021,10.375,1,1,0,0,CONFIRMED
,4.41,-0.11230754,0.11230754,1.2588531,-1.2588531,5545.3,6.07432e-05,-6.07432e-05,0.61757543,6.92239107,1.02304,564.454,13.6582,0.000234,-0.000234,8.562328894,0.103,-0.103,13.845,-0.022,0.022,12.154,1,1,0,0,CONFIRMED
,,-0.029,0.021,0.24,-0.32,,4.1e-05,-4.3e-05,0.141,1.58,0.94,442.991,13.6711,0.000286,-0.000286,0.782022,0.16,-0.16,13.809,-0.023,0.023,11.87,0,1,0,1,CANDIDATE
,,-32.76,40.49,453.8,-367.2,,0.002522,-0.002615,52.73,591.1,11.57,3493.0,13.9013,0.000294,-0.000294,20.943909,0.286,-0.286,13.525,-0.035,0.035,10.842,0,1,0,0,CANDIDATE
0.467536,4.76387,-0.007,0.009,0.1,-0.08,3677.0,1e-05,-1e-05,0.064,0.72,0.469901,90.1613,13.8259,0.000269,-0.000269,0.19785,0.027,-0.027,14.65,-0.028,0.028,10.608,0,1,0,1,CANDIDATE
,,-0.021,0.011,0.12,-0.24,,0.00074,-0.00073,0.132,1.48,0.7006,333.838,13.4754,0.000331,-0.000331,6.39916,0.16,-0.16,13.978,-0.025,0.025,11.711,0,1,0,1,CANDIDATE
